Username, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, Username, Tesla Model S, N/A, N/A, 2022-11-14, 2022-11-15, Returned, 
, HamidKarim, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, null, Tesla Model S, 09:00, 17:00, N/A, 2022-12-01, Returned, 
, HamidKarim, Tesla Model S, N/A, N/A, 2022-11-12, 2022-11-15, Returned, 
, null, Tesla Model S, N/A, N/A, 09-09-2022, 10-09-2022, Declined, 
, Username, Tesla Model S, 07:00, 17:00, N/A, N/A, Returned, 
, HamidKarim, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, HamidKarim, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, HamidKarim, Tesla Model S, N/A, N/A, 2022-11-13, 2022-11-15, Returned, 
, HamidKarim, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, HamidKarim, Tesla Model S, N/A, N/A, 2022-11-14, 2022-11-15, Returned, 
, Username, Tesla Model S, 07:00, 17:00, N/A, N/A, Pending, 
, Username, Tesla Model S, 07:00, 17:00, 2022-11-22, 2022-11-22, Returning, 
, Username, Tesla Model S, N/A, N/A, 2022-11-25, 2022-11-26, Pending, 
, Username, Perodua Kancil, 07:00, 17:00, 2022-11-22, 2022-11-22, Returning, 
, Username, Perodua Saga, 07:00, 17:00, 2022-12-01, 2022-12-01, Returned, 
, Username, eg: Toyota eg: Corolla Altis, 07:00, 17:00, 2022-12-02, 2022-12-02, Pending, 
, Aunishah, sdawd awd, 07:00, 17:00, 2022-12-02, 2022-12-02, Returned, 
, Adrian_Fu, Proton X70, 07:00, 18:00, 2022-12-03, 2022-12-03, Pending, 
, Adrian_Fu, Proton Waja, 10:00, 17:00, 2022-12-28, 2022-12-28, Pending, 
, 
